"msg_num","count","org_id","full_name","name"
1065502571601310,20320,"D907uE1Pzzit00C7Pald","广东奥园跨境电商集团有限公司","奥买家"
106901421060,20306,"57df787ce4b0bf65fc459063","北京小桔科技有限公司","滴滴出行"
10691218070186,20232,"584a7e60e4b0ca4e4d5088b7","快宝（上海）网络技术有限公司","微快递"
10690508432057156,20136,"57de4162e4b02fde3b91166a","深圳市腾讯计算机系统有限公司","腾讯公司"
1065756811060137,20115,"58db12f9e4b0cc1d2f9ceceb","北京拜克洛克科技有限公司","ofo共享单车"
106910095553,20061,"584115cbe4b0ca4e4d5083e3","海通证券股份有限公司","海通证券"
10657521993618,20031,"57ddf919e4b02fde3b91157b","北京京东叁佰陆拾度电子商务有限公司","京东公司"
96500,20003,"5949cc50e4b0eae9c498fce9","中国电信股份有限公司云南分公司","云南农信"
106558367,19973,"57b121b94d985e4e2be6114d","中国联合网络通信集团有限公司","中国联通"
10690750031266,19951,"59759643e4b006817ea805b5","深圳市顺丰大当家科技有限公司","顺丰大当家"
1065883099,19625,"57b14a8ea310d85abfaf1127","中国移动通信集团公司","中国移动"
106980003388,19603,"5947727ee4b0eae9c498ba3e","广东顺德农村商业银行股份有限公司","顺德农商银行"
106350096369,19568,"586da8e5e4b0ca4e4d508cc7","河北省农村信用社联合社","河北农信"
95519,19529,"5840e0e1e4b0ca4e4d5081a8","中国人寿保险(集团)公司","中国人寿"
106590256300,19512,"59360942e4b0b6f15af88f4d","浙江网商银行股份有限公司","浙江网商银行"
95518,19510,"59644972e4b06bc67383ff59","中国人民保险集团股份有限公司","中国人保"
106558000111,19474,"57b121b94d985e4e2be6114d","中国联合网络通信集团有限公司","中国联通"
100108866,19387,"57b121b94d985e4e2be6114d","中国联合网络通信集团有限公司","中国联通"
106590595188,19262,"57df46e7e4b0bab592fea708","支付宝（中国）网络技术有限公司","支付宝"
10690333961200,19122,"5947727ee4b0eae9c498b97b","深圳农村商业银行","深圳农商银行"
10086111,19085,"57b14a8ea310d85abfaf1127","中国移动通信集团公司","中国移动"
95574,19065,"57e223afe4b0984359788176","宁波银行股份有限公司","宁波银行"
10655800021,18954,"5949cc05e4b0eae9c498e4eb","中国林业","国家林业局"
10690709153804,18948,"57df787ce4b0bf65fc459063","北京小桔科技有限公司","滴滴出行"
10657568109932,18912,"57df762ee4b0bf65fc459052","北京陌陌科技有限公司","陌陌科技"
10628841,18585,"58e744e0e4b02973580609ab","贵州省农村信用社联合社","贵州农信"
106586111,18403,"57b14a8ea310d85abfaf1127","中国移动通信集团公司","中国移动"
106558601,18283,"57b121b94d985e4e2be6114d","中国联合网络通信集团有限公司","中国联通"
10086024,18266,"57b14a8ea310d85abfaf1127","中国移动通信集团公司","中国移动"
10086100,18162,"57b14a8ea310d85abfaf1127","中国移动通信集团公司","中国移动"
1069029996299,17995,"57e2390ce4b09843597882e1","桂林银行股份有限公司","桂林银行"
10655119,17890,"57b121b94d985e4e2be6114d","中国联合网络通信集团有限公司","中国联通"
1069121895118,17875,"57ddf919e4b02fde3b91157b","北京京东叁佰陆拾度电子商务有限公司","京东公司"
